gene_id	0148a96e-972e-4762-9a75-ee2791dc3d95	02438862-cd89-48db-a2d0-1f07678d5673	08096d6f-0f8c-4107-b86a-61eb10feaddd	18dd389b-b0b7-43f7-877f-0fb8e3471af0	1cc55d09-ac11-4cd5-a970-879d884ba666	26490a5f-6d48-4864-a1ab-7caa14924c73	2B0BABA1-90EF-47AD-9910-44B522F7182D	2BC6743C-DC3D-4693-B5D2-F55381712D7F	2C8CB0D0-2E13-4EC6-B097-F82645D47B2E	2a2472eb-3407-495a-b7c0-d4a73c99e669	34dda809-a7af-411f-ab80-b021b077eaf9	39BC85C4-E9AC-40E3-8932-7AA4AFB27B84	44a2e59d-3084-49eb-9516-aac67072ff12	47039a8f-de54-4ff9-84e2-6c1cdcd97dc0	4ab212b1-2a55-4850-8610-8a3c96ed0c1b	4bdf2f0f-68b6-494f-95ec-659f5a2ab85c	4c1d10e6-c86a-4139-94f6-185a97377550	4fe8f85b-b46a-4e29-b152-8f46cfbd09ae	842A5261-5E7F-4AD7-A426-0CE48E937919	84fb7b6d-d38e-41b5-86e4-bb66266da91b	88E25F76-1B1F-4AFB-AB08-215D4F7F08B5	8eb57b3e-64eb-408d-ad2d-1ff2c0e69506	90E7F816-EAD8-413D-A5C4-3BB5B3C48461	955f7278-0d9c-4a27-8ca2-f05714e4bf48	995d2980-f6c2-4336-8f7f-4e2e4e387cf7	9CE6D6B5-0457-4127-99C8-0A5632B8BEE2	9D3DFA06-4C69-49A8-93C2-EE54AAB7B2D8	9a367db3-3cbf-4231-b6ea-686981433787	A2834ABA-B6C1-4E62-8682-D6FC9D093E49	A4153890-D27B-4F55-A5E5-5204B7F59392	A8AE9773-3287-43E4-A18A-1ACE7291E83F	A9522B26-CB18-4BDE-B2A4-8EF4701C29D8	BEDFA47C-8383-4AAF-A609-F96850B414A2	C262A55B-8CF2-4C47-A867-F010361E22AC	C5B06E27-6E58-4555-84D9-B14078219E18	a5e6c3d1-f729-4393-864b-f153863aec46	a9574e45-5dee-46f3-87db-f7e859b67cab	aa0338ae-c4e7-4f20-9be7-347aa5a2d8f2	b854167d-42a2-4144-92ee-0229536d4cea	c5fafb87-e6d6-409e-9872-117798b3d4c4	cd4545b1-1add-488f-80dc-17edaeb7cad6	cfd4785f-1844-4274-8892-e2e558cb112a	d5887688-b311-4ddc-84d4-538750849401	e59deb12-6554-4a53-80ee-ebebe64e851c	eb23bf14-0f53-4e8c-9d50-2d9743a620c3	ee665717-a903-44bc-8eaa-afb46bd4edf0	ff555cad-2ab4-425b-83b5-c56ac20905a8
ENSG00000230042.1	0.120766280372	0.0716669476272	0.179133861362	0.116655299476	0.170645432383	0.0490825093646	0.153813343384	0.0824663260948	0.112115203302	0.146277973786	0.0628026997967	0.242260915075	0.116512516837	0.107024124583	0	0.119178952565	0.139219839636	0.0995302390885	0.119401114283	0.132290208409	0.0431631099339	0.103252507195	0.0592354468834	0.322890423425	0.178064895503	0.0203786870001	0.13268968673	0	0.295845724182	0.226022398989	0.19754084914	0.111886119908	0.126978603412	0	0.197865066118	0	0.368158742519	0.223700793596	0.0932338857729	0.19517303042	0.0232030579721	0.0807696536419	0.5223216507	0.0504117191241	0.181005592353	0	0.119268024122
ENSG00000232109.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0590155387542	0	0.0440614790091	0	0	0	0	0	0
ENSG00000167863.7	26.4255758666	46.3963227482	32.1060993221	39.6065983505	20.8091832263	21.6263217739	34.450434885	41.4304849809	41.2175045161	25.7006687533	37.3063198076	25.746580204	53.4797861403	33.0301424071	46.9483644533	31.7819023974	42.7876729795	30.9372389714	37.7973130741	78.0301309293	33.8117974524	21.0236435511	63.559481727	54.3077959217	57.4394507726	64.7507645083	36.3404101982	45.3751852067	37.1271416533	41.3380919651	24.2744206089	30.9287171792	44.0531520639	36.9140317587	37.6630461477	57.894508815	32.8001158248	43.6918059784	45.0748757692	55.1844545084	41.7548471731	29.4381514105	47.3511815976	29.1791330827	40.297596742	16.4259259369	64.6509717239
ENSG00000157764.8	3.69753075781	3.75544931918	3.96053232304	4.84306051398	5.14623387314	5.1350896782	3.77056497343	3.40454838681	4.7786480745	4.62191187992	3.99132333456	3.54675241599	4.40335597734	3.84245476959	0.591426103649	3.39544050704	4.07439334149	3.93233618891	4.35201779007	4.82664448523	3.38995081493	4.66861814904	3.66356591802	5.33832655891	5.17298861908	3.9408061476	3.49424697194	1.90283891249	3.24345485097	4.22844398503	3.70881992715	4.5462930708	4.97854804958	4.16808468708	3.35839413957	1.66090299853	4.95791646508	4.02109719386	4.14405161109	4.66941133741	3.38193287856	2.78833236928	4.58168676473	4.08259161628	5.14887195409	1.09744989959	4.597395494
ENSG00000232004.1	0.0711398244914	0.10132048238	0.0791418230643	0.087043012668	0.0703655047653	0.0636087026968	0.103550704661	0.0728676905522	0.06340198296	0.0430840022153	0.1331827303	0.0570834803442	0.126286668355	0.0756536750068	0	0.0702047768836	0.0328041069973	0.0996715169297	0.0683260558665	0.0534364990675	0.0711930926092	0.0973167704438	0.0465251203343	0.0932618782922	0.0419570939014	0.0480179140101	0.0625308388849	0.0211195106108	0.053622744133	0.101672892816	0.170669311819	0.0527270288283	0.0149598638513	0.0842909123042	0.0777042843045	0	0.0624589537344	0.0644235705553	0.0951969365971	0.0306588342084	0.0328037554865	0.0824702685399	0.0102561383979	0.0831489249428	0.0891772826124	0	0.0234190820964
ENSG00000169193.7	1.23106764904	3.46512719958	2.69510678937	4.97665747179	2.42576087317	2.28135503527	2.5707687539	4.24371714084	4.13743629915	1.41588837613	1.10419529874	1.89696810562	2.54321552525	3.36052736426	0.578971551339	2.55794960894	4.07525883257	1.86629011131	4.80479693621	5.24569804433	1.96383639163	1.95486242918	3.93508026164	3.61195995547	6.201989562	2.74821806455	1.44775038479	1.84831115334	3.12859257269	4.51389593481	2.35443960926	2.48199343584	1.97128022289	2.8898904671	2.23082798488	0.75212719795	3.08498359027	2.23387122373	2.22052475667	2.71561127784	2.30668462177	5.33037243608	1.27615685559	2.86173839007	4.11808349361	0.572126190692	4.7442020277
ENSG00000242703.1	0.00643363367833	0	0	0	0	0.00522958700547	0.009364758849	0	0	0	0	0	0	0	0	0	0	0	0.00363480377241	0	0	0	0	0.00443909149766	0.005420644169	0	0	0	0	0	0	0.00476844567517	0	0	0.00468486677728	0	0.0125523699632	0	0	0	0	0	0	0	0	0	0
ENSG00000169826.6	6.25940772324	3.48995623106	5.7499009396	4.4885137057	13.0254267986	8.43434259535	5.75328901845	7.75502165112	6.02579774231	5.61103905737	4.43462048863	11.5017818787	3.19395836932	6.36867705107	1.92090713175	9.68621219431	4.23774505468	7.36929636168	11.0181442498	4.71745754913	11.0569806721	7.21066244545	1.63710019174	4.74099704457	3.36959203947	2.82386031865	6.33437647894	5.01045613465	7.96422803417	5.78904743414	9.97892505084	7.68070778408	4.70969235417	6.93072376913	7.58499160173	1.63471244849	5.26182836632	5.46985803303	3.20096381389	2.34489691819	3.54168211638	3.55205648441	4.27133448668	7.50296211092	3.65758305711	0.503666759837	3.29271295594
ENSG00000268001.1	0.610884790503	2.19526282439	1.5404238398	1.74076485993	2.02850532776	0.782079557544	2.16742563681	2.05097815585	1.19096068677	0.69368744552	0.529469180612	1.00635759043	1.728811423	3.12641981812	0.624939054222	3.28556216513	2.08139198882	0.81393393083	1.62786782174	2.67033683689	2.25978280886	1.19160187075	0.732445749173	1.47173580897	0.673398724023	1.10299514016	1.12985032388	1.04279326617	1.78813469077	1.4066213216	1.23609896052	2.62230607493	1.81273940554	1.16040101953	1.61994555909	0.966127526594	2.62707907085	1.59676997819	0.932749232036	1.95990243831	0.453832487874	0.594689990891	0.352281946232	2.70303080663	1.36507583348	0.578543928782	1.22337050644
ENSG00000263196.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
